scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           3423          14752           9988       6.525e-4       3.137e-1       1.573e-6
   1           2368           9277          11852       9.760e-4       2.906e-1       1.344e-7
   1           5710          12933           5088       4.839e-4       2.917e-1       9.822e-6
   1           1494           8827          11975       1.178e-3       2.895e-1       8.722e-7
   1           3623          12014           5929       8.952e-4       3.455e-1       6.183e-7
   1           3930          19635           2744       5.739e-4       3.437e-1       6.905e-8
   1           5341          16881           5096       6.947e-4       2.336e-1       2.602e-7
   1           3832          15124           2160       6.981e-4       2.778e-1       2.356e-7
   1           5979           8020           8049       3.383e-4       2.529e-1       2.613e-8
   1           2469           7178           6734       7.219e-4       3.023e-1       8.598e-6
   1           4017          11824           6595       6.798e-4       2.997e-1       1.320e-6
   1           5022           8134           7018       7.527e-4       3.438e-1       1.008e-5
   1           2742           6011           5974       6.776e-4       2.833e-1       1.679e-8
   1           3169          15166           5660       7.747e-4       3.402e-1       6.563e-8
   1           3466           1561           1048       7.433e-4       3.195e-1       3.469e-8
   1           3066          10707           7028       8.815e-4       3.211e-1       1.556e-7
   1           4125           4165           5723       5.568e-4       2.689e-1       1.377e-6
   1           4734          11791           1992       8.334e-4       3.218e-1       1.725e-7
   1           7189           5934           7504       2.699e-4       3.150e-1       4.147e-6
   1           2655           9694           8295       7.678e-4       2.619e-1       4.125e-7
   1           5947          16720            997       7.118e-4       3.281e-1       4.764e-6
   1           3617           2609           4741       7.710e-4       2.910e-1       2.751e-7
   1           4201          15544           7609       7.355e-4       2.205e-1       1.574e-7
   1           3371           9882           6385       9.635e-4       3.280e-1       7.511e-7
   1           3051          12546          14931       5.022e-4       3.318e-1       4.169e-6
   1           2922          10108           6967       7.134e-4       1.962e-1       5.180e-8
   1           2973          15399           6668       8.571e-4       3.153e-1       8.012e-6
   1           3525          16097          11462       8.866e-4       3.212e-1       3.313e-8
   1           3127          12317           3432       5.836e-4       3.433e-1       2.088e-6
   1           2892           9547           8043       9.702e-4       2.172e-1       8.280e-8
   1           4359          21586           1926       4.826e-4       3.352e-1       1.430e-8
   1           5506          20032           1721       3.094e-4       2.790e-1       3.943e-8
   1           1959          11723           5764       5.705e-4       3.107e-1       5.283e-6
   1           1487           9027           3315       1.062e-3       2.806e-1       9.706e-8
   1           3373          17015           9404       6.605e-4       3.008e-1       4.400e-6
   1           3781          16381          11418       7.677e-4       3.187e-1       2.855e-7
   1           3347          13259           8345       6.230e-4       3.138e-1       2.594e-6
   1           2662          16000           7423       7.289e-4       2.563e-1       2.595e-8
   1           3645          11989           1591       3.938e-4       2.748e-1       2.877e-6
   1           4786          14323           8485       7.957e-4       1.898e-1       1.273e-6
   1           3282           3091           1900       5.366e-4       3.461e-1       1.468e-7
   1           3478          13588          11788       6.297e-4       2.547e-1       2.976e-7
   1           4444          12659           5022       7.841e-4       1.875e-1       1.074e-6
   1           4770          13217           7331       3.684e-4       3.069e-1       2.043e-7
   1           3112           5847            442       8.336e-4       3.500e-1       3.881e-6
   1           5505           6268            976       3.593e-4       2.926e-1       1.024e-7
   1           3816           8125           6008       6.587e-4       2.860e-1       6.084e-7
   1           3221          14772           5020       1.008e-3       3.243e-1       4.358e-8
   1           3357          13280          12379       1.072e-3       3.429e-1       5.894e-6
   1           5233          13092           2545       5.530e-4       3.331e-1       4.167e-7
   1           3655          16958           9873       5.910e-4       3.211e-1       1.092e-7
   1           1830          10636           4949       8.446e-4       2.846e-1       3.080e-8
   1           3651           7440          14913       1.033e-3       2.042e-1       8.608e-7
   1           3412           8205           4590       6.196e-4       3.403e-1       1.234e-5
   1           2456           9235           5946       8.261e-4       2.526e-1       1.652e-7
   1           3222           4880           4539       7.609e-4       2.274e-1       3.135e-6
   1           4572          15486           8555       6.363e-4       3.317e-1       1.780e-8
   1           3910           2900           4367       5.137e-4       3.358e-1       5.486e-6
   1           3755           3020           6833       4.182e-4       2.813e-1       1.605e-7
   1           4409          11148           2569       4.620e-4       2.995e-1       4.100e-6
   1           2404          15487           4234       9.298e-4       1.985e-1       3.527e-8
   1           3020          11747          13787       5.093e-4       2.488e-1       4.475e-7
   1           2695           9818           8578       8.474e-4       3.363e-1       1.276e-7
   1           4293           6145           1225       9.037e-4       2.803e-1       8.713e-6
   1           4904          11173           5831       5.361e-4       3.307e-1       5.997e-6
   1           4242          10805           2977       7.617e-4       2.715e-1       3.762e-8
   1           3103          17457           6168       4.001e-4       3.186e-1       1.309e-6
   1           4260           7918           8863       8.825e-4       2.064e-1       4.726e-7
   1           2236           9760           5554       5.902e-4       3.077e-1       2.261e-8
   1           3524          11320           8384       9.191e-4       2.141e-1       9.092e-7
   1           4193           7142           6831       7.684e-4       1.803e-1       4.228e-8
   1           3712          14880           1885       6.550e-4       2.468e-1       9.638e-7
   1           5422           9129           6288       3.345e-4       3.334e-1       1.216e-5
   1           3002           7903           5647       8.291e-4       3.313e-1       2.109e-8
   1           3642           3205           1751       8.989e-4       3.139e-1       1.422e-8
   1           3652           8718          11300       1.147e-3       2.851e-1       1.473e-6
   1           3774          17170            601       7.781e-4       2.404e-1       9.328e-7
