scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           3458          14398          10851       6.614e-4       2.908e-1       1.681e-6
   1           2456           9292          13309       8.772e-4       2.810e-1       1.402e-7
   1           5600          12740           4925       5.125e-4       2.795e-1       7.914e-6
   1           1574           8960          13483       9.848e-4       2.785e-1       9.449e-7
   1           3652          11880           5858       8.656e-4       3.000e-1       6.808e-7
   1           3949          18572           2493       5.919e-4       3.000e-1       7.354e-8
   1           5302          16402           4928       6.943e-4       2.423e-1       2.962e-7
   1           3854          14528           1924       6.971e-4       2.716e-1       2.642e-7
   1           5913           8096           8633       3.589e-4       2.553e-1       2.330e-8
   1           2549           7335           6871       7.169e-4       2.864e-1       7.141e-6
   1           4030          11696           6659       6.832e-4       2.837e-1       1.440e-6
   1           5022           8234           7134       7.441e-4       3.000e-1       7.952e-6
   1           2807           6188           5942       6.830e-4       2.749e-1       1.338e-8
   1           3217          14768           5549       7.560e-4       3.000e-1       6.933e-8
   1           3499           1653            920       7.329e-4       2.936e-1       3.308e-8
   1           3083          10605           7157       9.102e-4       2.966e-1       1.753e-7
   1           4117           4337           5638       5.824e-4       2.656e-1       1.499e-6
   1           4730          11759           1796       8.077e-4       2.948e-1       1.953e-7
   1           6945           6087           7673       2.884e-4       2.913e-1       4.081e-6
   1           2726           9770           8775       7.496e-4       2.612e-1       4.632e-7
   1           5854          16017            903       7.079e-4       3.000e-1       4.707e-6
   1           3640           2721           4545       7.569e-4       2.790e-1       3.147e-7
   1           4209          15065           7876       7.278e-4       2.329e-1       1.755e-7
   1           3414           9920           6436       8.782e-4       2.976e-1       8.444e-7
   1           3091          12292          20253       5.185e-4       2.993e-1       4.079e-6
   1           2982          10168           7060       7.116e-4       2.103e-1       5.324e-8
   1           3047          14859           6750       8.062e-4       2.939e-1       6.974e-6
   1           3561          15570          12939       8.930e-4       2.946e-1       3.168e-8
   1           3165          12109           3175       5.950e-4       3.000e-1       2.236e-6
   1           2908           9536           8433       9.771e-4       2.270e-1       8.979e-8
   1           4338          19813           1723       5.163e-4       3.000e-1       1.197e-8
   1           5558          19081           1541       3.187e-4       2.721e-1       3.771e-8
   1           1967          11649           5680       5.765e-4       2.892e-1       4.869e-6
   1           1530           9118           3058       9.625e-4       2.732e-1       1.067e-7
   1           3408          16227          10482       6.628e-4       2.845e-1       4.242e-6
   1           3806          16034          12815       7.596e-4       2.935e-1       3.278e-7
   1           3381          13002           8960       6.299e-4       2.908e-1       2.720e-6
   1           2709          15489           7681       7.224e-4       2.588e-1       2.241e-8
   1           3675          11840           1415       4.201e-4       2.701e-1       2.960e-6
   1           4840          14096           8843       7.940e-4       2.040e-1       1.409e-6
   1           3318           3218           1702       5.489e-4       3.000e-1       1.651e-7
   1           3504          13308          13798       6.328e-4       2.547e-1       3.381e-7
   1           4499          12460           4872       7.815e-4       2.012e-1       1.213e-6
   1           4775          12974           7601       3.890e-4       2.871e-1       2.340e-7
   1           3144           5976            393       8.180e-4       3.000e-1       3.844e-6
   1           5351           6454            862       3.953e-4       2.802e-1       1.109e-7
   1           3838           8243           5942       6.644e-4       2.763e-1       6.856e-7
   1           3270          14303           4857       9.087e-4       2.956e-1       4.412e-8
   1           3405          12933          15417       9.332e-4       3.000e-1       5.478e-6
   1           5231          12862           2310       5.641e-4       3.000e-1       4.799e-7
   1           3689          16217          11178       6.028e-4       2.938e-1       1.215e-7
   1           1833          10625           4786       8.417e-4       2.752e-1       2.677e-8
   1           3668           7610          17229       9.049e-4       2.148e-1       9.116e-7
   1           3441           8322           4385       6.276e-4       3.000e-1       8.582e-6
   1           2504           9306           5888       7.990e-4       2.565e-1       1.860e-7
   1           3260           5040           4340       7.484e-4       2.384e-1       3.189e-6
   1           4611          15163           8987       6.413e-4       2.987e-1       1.196e-8
   1           3949           3017           4172       5.239e-4       3.000e-1       5.099e-6
   1           3775           3182           6983       4.562e-4       2.737e-1       1.799e-7
   1           4372          11075           2352       5.019e-4       2.843e-1       4.069e-6
   1           2479          14903           4009       8.577e-4       2.125e-1       3.510e-8
   1           3040          11600          16885       5.116e-4       2.523e-1       5.154e-7
   1           2753           9818           9289       8.098e-4       3.000e-1       1.414e-7
   1           4261           6298           1138       8.486e-4       2.729e-1       7.397e-6
   1           4812          11132           5759       5.725e-4       2.993e-1       5.471e-6
   1           4277          10775           2741       7.560e-4       2.679e-1       3.593e-8
   1           3135          16857           6141       4.180e-4       2.927e-1       1.460e-6
   1           4279           8006           9762       8.426e-4       2.198e-1       5.387e-7
   1           2261           9743           5454       5.981e-4       2.879e-1       2.074e-8
