State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
2977	0.245283	-4004.036842	2.742791	0.470354	4.146341	0.201207	-2.615595	0.080646	4.300588	0.875606
2978	0.169643	-3970.694376	1.933945	0.470354	3.238315	0.213961	-1.801166	0.060002	3.491742	0.975547
2979	0.191489	-4216.931354	3.476585	0.437688	4.833758	0.148529	-3.343806	0.057152	5.034382	0.886536
2980	0.314286	-4133.250154	5.357643	0.407191	6.714816	0.103551	-5.164281	0.085883	6.915439	0.937756
2981	0.267442	-4007.994891	4.888055	0.407191	6.245228	0.045415	-4.694693	0.125424	6.445851	0.964243
2982	0.214286	-3756.40477	1.634493	0.407191	2.980471	0.005212	-1.429937	0.125237	3.181095	0.964243
2983	0.22549	-3769.886887	2.368699	0.392481	3.714678	0.076974	-2.164143	0.120869	3.915302	0.964243
2984	0.161905	-3752.124787	4.504853	0.374936	5.924778	0.058503	-4.300297	0.124904	6.051455	0.937814
2985	0.166667	-3999.101949	4.192468	0.374936	5.625361	0.026563	-3.987912	0.079599	5.739071	0.938354
2986	0.213592	-4158.63325	4.842112	0.386053	6.275004	0.00399	-4.637556	0.122679	6.388714	0.938354
2987	0.160377	-3773.727374	1.072055	0.386053	2.391112	0.006753	-0.800653	0.132648	2.618658	0.891894
2988	0.186275	-3639.150908	3.146785	0.359223	4.440699	0.022389	-2.880171	0.168623	4.698176	0.892117
2989	0.142857	-3618.5836	3.181628	0.350714	4.475542	0.080668	-2.915014	0.18438	4.733019	0.848893
2990	0.173913	-3837.890896	3.622379	0.350714	4.947728	0.019567	-3.438427	0.160534	5.173771	0.848893
2991	0.170213	-4061.835997	3.536287	0.350714	4.880884	0.058007	-3.352336	0.254443	5.087679	0.841323
2992	0.141414	-4049.95206	2.904976	0.350714	4.263075	0.100649	-2.734527	0.178602	4.456368	0.843949
2993	0.241071	-4140.877101	4.176579	0.359209	5.542163	0.149938	-4.013614	0.225224	5.735456	0.887785
2994	0.23	-4029.315562	2.973608	0.406775	4.339192	0.196257	-2.810643	0.257513	4.532485	0.857902
2995	0.123894	-4369.697419	2.553949	0.406775	3.919533	0.298029	-2.390984	0.242719	4.112826	0.835374
2996	0.107843	-4223.121139	2.888562	0.411669	4.208419	0.198147	-2.725597	0.214699	4.447438	0.864114
2997	0.123457	-4383.547778	3.300347	0.411669	4.705278	0.236694	-3.137382	0.248278	4.859223	0.900739
2998	0.175926	-4516.357995	4.246123	0.411669	5.651054	0.231887	-4.153975	0.182959	5.804999	0.86018
2999	0.227723	-4815.172012	2.914119	0.411669	4.31905	0.14144	-2.821971	0.195418	4.472996	0.86018
3000	0.168421	-4517.954391	3.044341	0.430115	4.414164	0.176407	-2.900195	0.174025	4.568109	0.876107
3001	0.11215	-4498.870941	3.156414	0.412996	4.469001	0.127423	-3.010316	0.120638	4.678229	0.876107
3002	0.180851	-4191.687148	2.857865	0.44377	4.178094	0.148164	-2.719409	0.119309	4.379681	0.876107
3003	0.2	-3881.799105	3.504685	0.421954	4.824914	0.074188	-3.366228	0.12064	5.128088	0.876107
3004	0.108911	-4097.615944	2.538079	0.426847	3.824022	0.089798	-2.399623	0.12064	4.161483	0.876107
3005	0.205882	-3927.240334	2.481865	0.404826	3.812813	0.114231	-2.343408	0.111627	4.105269	0.876107
3006	0.147727	-3677.441773	1.659661	0.423128	2.990608	0.030362	-1.521204	0.116234	3.283064	0.875634
3007	0.142857	-3739.795352	3.950007	0.419404	5.280954	0.107514	-3.81155	0.113763	5.57341	0.840509
3008	0.136842	-3924.731554	4.961773	0.419404	6.29272	0.238385	-4.823316	0.127238	6.585176	0.906315
3009	0.136364	-3880.803064	3.814973	0.431455	5.14592	0.210386	-3.676516	0.056542	5.438376	0.901892
3010	0.254902	-4079.893975	2.451353	0.431455	3.891557	0.152655	-2.312896	0.073739	4.074757	0.949345
3011	0.15625	-3916.453245	2.886128	0.48138	4.373803	0.136659	-2.814323	0.045994	4.576184	0.943877
3012	0.247191	-3770.874427	2.837035	0.476987	4.363233	0.080611	-2.780766	0.041334	4.52709	0.943877
3013	0.223404	-3966.034505	2.364657	0.476987	3.887893	0.242837	-2.305037	0.032125	4.051361	0.943877
3014	0.168317	-4346.03659	2.55436	0.464937	4.148272	0.088795	-2.565415	0.015509	4.241064	0.943877
3015	0.317308	-4216.372732	4.022691	0.479638	5.400949	0.174608	-4.033747	0.053992	5.709396	0.994827
3016	0.157407	-3831.838691	4.3549	0.484428	5.733158	0.06951	-4.365956	0.065191	6.041605	0.994827
3017	0.185185	-4228.857151	1.911489	0.449173	3.451697	0.081162	-1.959084	0.055214	3.634733	0.942452
3018	0.152174	-4238.922499	2.901542	0.449173	4.507476	0.131119	-2.949137	0.106636	4.624786	0.942452
3019	0.122222	-3946.546451	2.395672	0.420535	3.906394	0.204701	-2.428239	0.163582	4.118916	0.942452
3020	0.17	-3876.944992	3.346014	0.452279	4.922982	0.159073	-3.357944	0.275096	5.105657	0.975008
3021	0.204082	-4001.213196	3.789588	0.384705	5.367796	0.466655	-3.776719	0.214985	5.549231	0.956008
3022	0.134454	-4119.193605	2.815686	0.384705	4.393895	0.16484	-2.779719	0.165553	4.552231	0.956008
3023	0.116279	-3801.388957	2.537617	0.384705	4.120086	0.359167	-2.505911	0.219482	4.274162	0.956008
3024	0.159574	-3828.518681	3.525156	0.401367	4.991355	0.264076	-3.49345	0.204251	5.261701	0.990074
3025	0.09	-3927.116181	3.142915	0.401367	4.706436	0.457662	-3.112687	0.213046	4.880938	1.014502
3026	0.139785	-3855.787327	3.237331	0.401367	4.671213	0.324048	-3.207102	0.21974	4.989925	1.019344
3027	0.091837	-3778.778088	2.139253	0.396375	3.573136	0.457808	-2.109024	0.210214	3.891847	0.973232
3028	0.134021	-3855.322498	4.316313	0.405764	5.682464	0.211764	-4.286085	0.192952	6.068908	0.973232
3029	0.146067	-3876.925266	4.567229	0.420515	5.935124	0.30848	-4.538744	0.174282	6.321567	1.055119
3030	0.044944	-3532.759524	4.484039	0.387296	5.750197	0.329284	-4.398508	0.18415	6.273432	1.055119
3031	0.166667	-3833.578505	4.618793	0.416653	5.912809	0.484805	-4.533262	0.150454	6.408186	1.119832
3032	0.134615	-3864.407909	5.317244	0.382022	6.61126	0.408431	-5.231713	0.226901	7.106637	0.927549
3033	0.107143	-3838.727282	2.862931	0.371546	4.156948	0.3682	-2.777401	0.222931	4.652324	0.968452
3034	0.109091	-3969.919867	3.354003	0.347368	4.64802	0.681649	-3.268473	0.236921	5.143396	1.047561
3035	0.141304	-3790.57351	3.498944	0.347368	4.732867	0.556946	-3.35332	0.236921	5.288337	1.047561
3036	0.129032	-3982.279833	3.440289	0.411467	4.674212	0.526534	-3.294665	0.183894	5.229682	1.00926
3037	0.222222	-4011.306161	2.261824	0.454548	3.499258	0.554886	-2.119711	0.147946	4.051217	1.003202
3038	0.144231	-3975.965824	3.145756	0.352281	4.38319	0.365946	-3.003643	0.146432	4.935149	1.031616
3039	0.156863	-3960.052982	2.314165	0.264749	3.652598	0.521072	-2.172052	0.200415	4.103558	0.942062
3040	0.140351	-3601.487962	4.468719	0.264018	5.83069	0.247442	-4.350144	0.203016	6.28165	0.900331
