State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
1443	0.263158	-4747.425423	2.958948	0.245265	3.851658	0.023153	-3.147442	0.790475	3.03158	0.158101
1444	0.183908	-4873.985822	4.20628	0.245265	5.124514	0.068167	-4.420299	0.790529	4.304437	0.163242
1445	0.116505	-5226.130087	2.890636	0.204734	3.808871	0.112962	-3.151895	0.716527	2.964366	0.124767
1446	0.137615	-4930.040105	2.206468	0.204734	3.124703	0.041697	-2.467727	0.716527	2.280198	0.076987
1447	0.237624	-4845.218925	3.240891	0.258067	4.128604	0.095511	-3.50215	0.786734	3.314621	0.044577
1448	0.166667	-4697.989751	1.507488	0.240782	2.395201	0.105022	-1.775893	0.754972	1.581218	0.138747
1449	0.102804	-4629.182711	2.492808	0.268218	3.380521	0.145732	-2.761213	0.754972	2.566538	0.173437
1450	0.205357	-5182.829982	2.745639	0.202292	3.633352	0.261014	-3.014044	0.565758	2.819369	0.04117
1451	0.178218	-5766.47778	5.135587	0.319432	6.070096	0.23856	-5.394856	0.565758	5.073854	0.074724
1452	0.186813	-5481.195623	4.215542	0.246263	5.150051	0.22681	-4.474812	0.58789	4.153809	0.166181
1453	0.084211	-5470.629926	2.323278	0.215619	3.257788	0.17603	-2.582548	0.58789	2.261545	0.179373
1454	0.153846	-5313.977803	4.191643	0.199872	5.126152	0.244911	-4.447134	0.556097	4.126132	0.268322
1455	0.091837	-5357.225652	1.29969	0.150355	2.234199	0.244911	-1.51764	0.488239	1.234178	0.252275
1456	0.088889	-5156.255972	4.081344	0.151779	5.05778	0.261732	-4.240266	0.488239	4.015833	0.382028
1457	0.076923	-5600.580547	2.863769	0.1479	3.840205	0.255159	-3.022691	0.379814	2.798258	0.327224
1458	0.191919	-5529.641936	5.103917	0.178971	6.080353	0.278378	-5.262839	0.473073	5.038406	0.347611
1459	0.096774	-5753.704308	4.513043	0.178971	5.48401	0.346278	-4.666496	0.362021	4.442063	0.345581
1460	0.140187	-5935.931418	3.231233	0.202838	4.2022	0.357331	-3.384686	0.37583	3.160253	0.276084
1461	0.13	-5810.772866	2.6047	0.143697	3.575666	0.291584	-2.758153	0.501024	2.533719	0.330853
1462	0.203883	-5413.12627	3.073286	0.139488	4.010521	0.301359	-3.208731	0.503812	2.998938	0.352763
1463	0.237113	-5267.626981	2.492775	0.243153	3.421169	0.295808	-2.628221	0.586493	2.461012	0.375559
1464	0.210526	-5526.172736	3.156116	0.187572	4.084509	0.341775	-3.291561	0.446144	3.124353	0.283286
1465	0.097087	-5175.755859	3.850757	0.147198	4.746756	0.341775	-3.953808	0.419447	3.818994	0.263418
1466	0.133333	-5389.248729	3.165109	0.164183	4.061107	0.267488	-3.248053	0.419447	3.133346	0.296405
1467	0.126437	-5300.534955	2.378425	0.164183	3.274423	0.386727	-2.501018	0.419447	2.346662	0.263381
1468	0.265306	-5372.868409	2.985364	0.07886	3.922101	0.396928	-3.107957	0.433573	2.953601	0.33298
1469	0.172414	-4992.170633	3.270632	0.078598	4.121832	0.411646	-3.307688	0.445309	3.238869	0.33298
1470	0.268817	-5242.418112	2.319613	0.075528	3.180596	0.502586	-2.366452	0.430462	2.28785	0.496898
1471	0.219512	-5148.843459	3.366606	0.073799	4.227589	0.443765	-3.413445	0.519595	3.334843	0.315195
1472	0.278351	-4803.126259	3.881699	0.050871	4.642141	0.582762	-3.827997	0.353088	3.849936	0.42034
1473	0.202381	-4854.992436	2.637368	0.021745	3.375929	0.612483	-2.56687	0.368068	2.588809	0.41943
1474	0.259259	-4716.248046	3.047123	0.049099	3.712135	0.562042	-2.932759	0.321619	2.981196	0.347095
1475	0.17	-4932.237229	2.850881	0.093563	3.557568	0.559208	-2.778192	0.344159	2.826629	0.319722
1476	0.242718	-5074.018706	4.023341	0.066646	4.750433	0.675849	-3.971057	0.413331	4.019494	0.360882
1477	0.228261	-5278.107668	2.993907	0.013589	3.65941	0.675849	-2.968531	0.390848	2.99006	0.309779
1478	0.24	-5218.053762	2.254889	0.045264	2.920392	0.621276	-2.229513	0.333977	2.273793	0.219864
