scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1           1.060        6.877e-1          25.494
   1           1.060        7.092e-2          25.494
   1           1.060        8.880e-2          25.494
   1           1.060        4.724e-2          25.494
   1           1.060        7.678e-2          25.494
   1           1.060        1.407e-2          25.494
   1           1.060        1.517e-2          25.494
   1           1.060        1.371e-2          25.494
   1           1.060        2.918e-1          25.494
   1           1.060        1.828e-2          25.494
   1           1.060        4.684e-2          25.494
   1           1.060        2.670e-2          25.494
   1           1.060        2.921e-2          25.494
   1           1.060        2.898e-1          25.494
   1           1.060        6.350e-2          25.494
   1           1.060        8.531e-2          25.494
   1           1.060        1.162e-2          25.494
   1           1.060        1.949e-1          25.494
   1           1.060        1.664e-1          25.494
   1           1.060           1.201          25.494
   1           1.060        5.385e-1          25.494
   1           1.060        1.479e-1          25.494
   1           1.060        1.907e-2          25.494
   1           1.060        5.890e-2          25.494
   1           1.060        1.380e-1          25.494
   1           1.060           1.006          25.494
   1           1.060        3.147e-2          25.494
   1           1.060        3.257e-1          25.494
   1           1.060        5.529e-2          25.494
   1           1.060        7.716e-2          25.494
   1           1.060        4.224e-1          25.494
   1           1.060        5.412e-1          25.494
   1           1.060        2.286e-1          25.494
   1           1.060        1.762e-2          25.494
   1           1.060        6.994e-1          25.494
   1           1.060        9.917e-2          25.494
   1           1.060        2.615e-2          25.494
   1           1.060        2.089e-2          25.494
   1           1.060        4.627e-2          25.494
   1           1.060        1.289e-1          25.494
   1           1.060        6.743e-2          25.494
   1           1.060        3.668e-2          25.494
   1           1.060        8.884e-2          25.494
   1           1.060        2.462e-2          25.494
   1           1.060        3.491e-2          25.494
   1           1.060        8.796e-2          25.494
   1           1.060        2.611e-1          25.494
   1           1.060        3.192e-1          25.494
   1           1.060        1.797e-2          25.494
   1           1.060        3.624e-1          25.494
   1           1.060        1.548e-2          25.494
   1           1.060        1.518e-2          25.494
   1           1.060        8.727e-2          25.494
   1           1.060        3.034e-1          25.494
   1           1.060        3.494e-2          25.494
   1           1.060        2.600e-1          25.494
   1           1.060        1.176e-1          25.494
   1           1.060        4.071e-2          25.494
   1           1.060        1.243e-1          25.494
   1           1.060        1.646e-2          25.494
   1           1.060        5.086e-2          25.494
   1           1.060        3.223e-1          25.494
   1           1.060        1.865e-2          25.494
   1           1.060        1.024e-1          25.494
   1           1.060        1.547e-1          25.494
   1           1.060        1.168e-2          25.494
   1           1.060        2.438e-1          25.494
   1           1.060        2.005e-2          25.494
   1           1.060        2.466e-2          25.494
   1           1.060        3.219e-2          25.494
   1           1.060        6.909e-1          25.494
   1           1.060        1.369e-2          25.494
   1           1.060        6.803e-2          25.494
   1           1.060        2.162e-2          25.494
   1           1.060        1.716e-2          25.494
   1           1.060        4.984e-2          25.494
   1           1.060        2.923e-1          25.494
   1           1.060        1.300e-1          25.494
   1           1.060        2.925e-1          25.494
   1           1.060        4.134e-2          25.494
   1           1.060        2.949e-2          25.494
   1           1.060        4.889e-1          25.494
   1           1.060        2.442e-1          25.494
   1           1.060        1.444e-2          25.494
   1           1.060           4.823          25.494
   1           1.060        1.380e-2          25.494
   1           1.060        1.616e-1          25.494
   1           1.060        1.142e-2          25.494
   1           1.060        1.691e-1          25.494
   1           1.060        1.025e-1          25.494
   1           1.060        1.384e-2          25.494
   1           1.060        3.241e-2          25.494
   1           1.060        2.511e-2          25.494
   1           1.060        1.426e-2          25.494
   1           1.060        4.698e-2          25.494
   1           1.060        2.720e-2          25.494
   1           1.060        4.683e-2          25.494
   1           1.060        1.158e-1          25.494
   1           1.060        3.550e-2          25.494
   1           1.060        1.607e-2          25.494
   1           1.060        2.588e-1          25.494
   1           1.060        4.139e-1          25.494
   1           1.060        6.945e-2          25.494
   1           1.060        1.614e-1          25.494
   1           1.060        1.639e-2          25.494
   1           1.060        4.799e-1          25.494
   1           1.060        2.287e-2          25.494
   1           1.060        6.386e-2          25.494
   1           1.060        1.668e-2          25.494
   1           1.060        6.262e-1          25.494
   1           1.060        1.498e-1          25.494
   1           1.060        5.299e-2          25.494
   1           1.060        1.520e-2          25.494
   1           1.060        2.125e-1          25.494
   1           1.060        1.328e-2          25.494
   1           1.060        3.119e-2          25.494
   1           1.060        2.069e-2          25.494
   1           1.060           1.306          25.494
   1           1.060        1.363e-1          25.494
   1           1.060        1.022e-1          25.494
   1           1.060        1.852e-1          25.494
   1           1.060        3.784e-1          25.494
   1           1.060        6.159e-2          25.494
   1           1.060        2.047e-2          25.494
   1           1.060        1.447e-2          25.494
   1           1.060        1.735e-1          25.494
   1           1.060        1.585e-2          25.494
   1           1.060        4.563e-2          25.494
   1           1.060        3.434e-2          25.494
   1           1.060        3.462e-2          25.494
   1           1.060        9.343e-1          25.494
   1           1.060        1.152e-1          25.494
   1           1.060        4.100e-2          25.494
   1           1.060        1.016e-1          25.494
   1           1.060        7.054e-2          25.494
   1           1.060        2.699e-2          25.494
   1           1.060        7.352e-2          25.494
   1           1.060        3.100e-2          25.494
   1           1.060        1.771e-1          25.494
   1           1.060        5.227e-2          25.494
   1           1.060        3.251e-2          25.494
   1           1.060        1.297e-1          25.494
   1           1.060        9.132e-1          25.494
   1           1.060        5.728e-1          25.494
   1           1.060        3.011e-2          25.494
   1           1.060        9.835e-2          25.494
   1           1.060        2.542e-2          25.494
   1           1.060        2.706e-2          25.494
   1           1.060        1.815e-2          25.494
   1           1.060        1.295e-2          25.494
   1           1.060        1.609e-2          25.494
   1           1.060        2.098e-1          25.494
   1           1.060        2.460e-1          25.494
   1           1.060        2.207e-2          25.494
   1           1.060        1.142e-2          25.494
   1           1.060        1.728e-2          25.494
   1           1.060        6.238e-2          25.494
   1           1.060        1.830e-2          25.494
   1           1.060        2.879e-2          25.494
   1           1.060        3.497e-2          25.494
   1           1.060        4.222e-2          25.494
   1           1.060        1.611e-2          25.494
   1           1.060        3.886e-1          25.494
   1           1.060        5.636e-2          25.494
   1           1.060        6.834e-2          25.494
   1           1.060        1.717e-1          25.494
   1           1.060        2.393e-2          25.494
   1           1.060        2.857e-2          25.494
   1           1.060           1.018          25.494
   1           1.060        2.081e-2          25.494
   1           1.060        2.339e-2          25.494
   1           1.060        2.071e-2          25.494
   1           1.060        1.985e-2          25.494
   1           1.060        7.579e-2          25.494
   1           1.060        1.159e-1          25.494
   1           1.060        4.353e-1          25.494
   1           1.060        4.246e-2          25.494
   1           1.060        1.224e-2          25.494
   1           1.060        4.402e-2          25.494
   1           1.060        4.002e-2          25.494
   1           1.060        6.797e-1          25.494
   1           1.060        2.919e-2          25.494
   1           1.060        1.721e-1          25.494
   1           1.060        1.546e-2          25.494
   1           1.060        2.932e-2          25.494
   1           1.060           2.793          25.494
   1           1.060        2.021e-2          25.494
   1           1.060        6.211e-1          25.494
   1           1.060        2.873e-1          25.494
   1           1.060        7.751e-1          25.494
   1           1.060        2.616e-2          25.494
   1           1.060        2.634e-2          25.494
   1           1.060        2.724e-1          25.494
   1           1.060        3.501e-2          25.494
   1           1.060        2.389e-2          25.494
   1           1.060        2.767e-1          25.494
   1           1.060        6.634e-2          25.494
   1           1.060        1.491e-2          25.494
   1           1.060        6.812e-2          25.494
   1           1.060        7.203e-2          25.494
   1           1.060        7.115e-2          25.494
   1           1.060        2.173e-2          25.494
   1           1.060        1.008e-1          25.494
   1           1.060        2.018e-2          25.494
   1           1.060        2.051e-2          25.494
   1           1.060           1.527          25.494
   1           1.060        4.341e-2          25.494
   1           1.060        1.678e-2          25.494
   1           1.060        4.174e-2          25.494
   1           1.060        9.508e-2          25.494
   1           1.060        6.384e-2          25.494
   1           1.060        3.537e-1          25.494
   1           1.060        3.357e-2          25.494
   1           1.060        1.481e-2          25.494
   1           1.060        1.205e-2          25.494
   1           1.060        2.692e-1          25.494
   1           1.060        9.278e-2          25.494
   1           1.060           2.834          25.494
   1           1.060        1.974e-2          25.494
   1           1.060        9.598e-2          25.494
   1           1.060        3.998e-2          25.494
   1           1.060        3.968e-1          25.494
   1           1.060        1.372e-2          25.494
   1           1.060        5.668e-2          25.494
   1           1.060        2.053e-2          25.494
   1           1.060        1.764e-2          25.494
   1           1.060        3.257e-2          25.494
   1           1.060        8.702e-2          25.494
   1           1.060           1.298          25.494
   1           1.060        4.853e-2          25.494
   1           1.060        1.545e-2          25.494
   1           1.060        1.366e-2          25.494
   1           1.060        4.967e-2          25.494
   1           1.060        8.319e-2          25.494
   1           1.060        3.639e-2          25.494
   1           1.060        3.945e-1          25.494
   1           1.060        2.957e-2          25.494
   1           1.060        2.285e-2          25.494
   1           1.060        2.712e-2          25.494
   1           1.060        1.769e-1          25.494
   1           1.060        1.524e-1          25.494
   1           1.060        3.231e-2          25.494
   1           1.060        9.772e-2          25.494
   1           1.060        3.847e-1          25.494
   1           1.060        8.323e-2          25.494
   1           1.060           1.269          25.494
   1           1.060        7.050e-2          25.494
   1           1.060        1.410e-2          25.494
   1           1.060        1.459e-2          25.494
   1           1.060        4.152e-1          25.494
   1           1.060        1.741e-2          25.494
   1           1.060        1.142e-2          25.494
   1           1.060        2.080e-1          25.494
   1           1.060        1.654e-2          25.494
   1           1.060        1.242e-2          25.494
   1           1.060        1.560e-2          25.494
   1           1.060        9.601e-2          25.494
   1           1.060        1.650e-1          25.494
   1           1.060        1.445e-1          25.494
   1           1.060        5.185e-2          25.494
   1           1.060        7.383e-2          25.494
   1           1.060        5.606e-2          25.494
   1           1.060        1.015e-1          25.494
   1           1.060        3.622e-2          25.494
   1           1.060        2.503e-2          25.494
   1           1.060        3.047e-2          25.494
   1           1.060        3.567e-2          25.494
   1           1.060        1.927e-2          25.494
   1           1.060        6.258e-2          25.494
   1           1.060        1.480e-1          25.494
   1           1.060        1.196e-1          25.494
   1           1.060        2.120e-2          25.494
   1           1.060        4.146e-1          25.494
   1           1.060        4.551e-2          25.494
   1           1.060        1.205e-1          25.494
   1           1.060        2.836e-2          25.494
   1           1.060        9.766e-2          25.494
   1           1.060        2.669e-1          25.494
   1           1.060        2.165e-1          25.494
   1           1.060        6.469e-2          25.494
   1           1.060        3.321e-2          25.494
   1           1.060        1.282e-1          25.494
