scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1        6.678e-1        5.401e-2        1.403e-2
   1           1.697          10.733        1.403e-2
   1           2.591           1.341        1.403e-2
   1           2.926        4.059e-2        1.403e-2
   1           1.290        4.541e-1        1.403e-2
   1           1.321        7.439e-2        1.403e-2
   1           1.260        9.899e-2        1.403e-2
   1           1.872           7.561        1.403e-2
   1        8.852e-1        6.028e-2        1.403e-2
   1           1.779        1.937e-1        1.403e-2
   1           1.425        6.638e-2        1.403e-2
   1           1.889        7.566e-2        1.403e-2
   1           1.758        3.601e-1        1.403e-2
   1           1.845        4.933e-1        1.403e-2
   1           2.331        2.650e-1        1.403e-2
   1           2.322        1.744e-1        1.403e-2
   1           1.551        1.666e-1        1.403e-2
   1           2.709           1.608        1.403e-2
   1           1.863           1.728        1.403e-2
   1           1.334        8.176e-2        1.403e-2
   1           2.423        7.244e-1        1.403e-2
   1           2.198        3.633e-1        1.403e-2
   1           1.720           1.213        1.403e-2
   1           2.337        1.508e-1        1.403e-2
   1           2.155           2.387        1.403e-2
   1           2.305        8.512e-1        1.403e-2
   1           2.021        6.079e-1        1.403e-2
   1           1.123        5.922e-2        1.403e-2
   1           1.129        1.233e-1        1.403e-2
   1        8.102e-1        2.150e-1        1.403e-2
   1           1.614           7.796        1.403e-2
   1           1.792        1.729e-1        1.403e-2
   1           1.112           1.346        1.403e-2
   1           1.559           3.893        1.403e-2
   1           2.667           2.624        1.403e-2
   1           1.103        1.129e-1        1.403e-2
   1           1.382        3.165e-1        1.403e-2
   1           1.562        4.962e-2        1.403e-2
   1           1.426           1.167        1.403e-2
   1           1.129        6.220e-2        1.403e-2
   1           1.087        6.679e-1        1.403e-2
   1           2.715           4.262        1.403e-2
   1           1.136        4.929e-2        1.403e-2
   1           1.827        5.447e-2        1.403e-2
   1           3.176        6.942e-1        1.403e-2
   1        6.813e-1        5.176e-2        1.403e-2
   1           4.582        2.463e-1        1.403e-2
   1           1.312        1.744e-1        1.403e-2
   1           1.523        9.677e-1        1.403e-2
   1           4.264          12.101        1.403e-2
   1           1.337        1.717e-1        1.403e-2
   1           2.169        2.648e-1        1.403e-2
   1           1.512        2.339e-1        1.403e-2
   1           1.695        7.306e-1        1.403e-2
   1           1.492        3.049e-1        1.403e-2
   1           1.701           3.994        1.403e-2
   1           1.649        3.405e-1        1.403e-2
   1           1.711        1.441e-1        1.403e-2
   1           2.074        1.153e-1        1.403e-2
   1           3.899        3.207e-1        1.403e-2
   1           1.129        8.527e-2        1.403e-2
   1           2.434           1.569        1.403e-2
   1           1.099           1.630        1.403e-2
   1           1.764        3.122e-1        1.403e-2
   1           1.161        4.886e-2        1.403e-2
   1           1.525        7.386e-2        1.403e-2
   1           4.078        7.542e-2        1.403e-2
   1           2.214        6.591e-2        1.403e-2
   1           1.816        4.733e-1        1.403e-2
   1           2.026        8.116e-1        1.403e-2
   1           5.259           1.092        1.403e-2
   1           1.534           1.383        1.403e-2
   1           3.912           1.974        1.403e-2
   1        9.715e-1        9.052e-2        1.403e-2
   1           1.867        2.362e-1        1.403e-2
   1        5.889e-1        8.003e-2        1.403e-2
   1           1.049        3.002e-1        1.403e-2
   1           1.853        4.703e-1        1.403e-2
   1           1.885        3.857e-1        1.403e-2
   1           2.079           1.066        1.403e-2
   1           1.264        5.341e-1        1.403e-2
   1           1.513        1.560e-1        1.403e-2
   1           2.848        3.127e-1        1.403e-2
   1           2.497        9.773e-1        1.403e-2
   1           3.039           1.587        1.403e-2
   1        9.197e-1        1.030e-1        1.403e-2
   1           3.943           1.543        1.403e-2
   1           2.039        4.101e-1        1.403e-2
   1           1.682        7.593e-2        1.403e-2
   1           3.788           2.296        1.403e-2
   1           2.111        4.495e-1        1.403e-2
   1           1.820        1.162e-1        1.403e-2
   1           1.628        7.773e-2        1.403e-2
   1           1.166        2.132e-1        1.403e-2
   1           2.211           5.091        1.403e-2
   1           1.806        1.416e-1        1.403e-2
   1           2.941        5.683e-1        1.403e-2
   1           2.386        6.240e-1        1.403e-2
   1           1.229           5.092        1.403e-2
   1           1.322        5.250e-1        1.403e-2
   1           1.854           1.592        1.403e-2
   1           2.914        4.152e-1        1.403e-2
   1           2.627           2.688        1.403e-2
   1           3.004           4.175        1.403e-2
   1           1.614        9.368e-2        1.403e-2
   1           1.947        6.966e-2        1.403e-2
   1           3.558           1.896        1.403e-2
   1           2.069        1.506e-1        1.403e-2
   1           2.406        7.444e-1        1.403e-2
   1           1.343        9.823e-2        1.403e-2
   1           1.406        6.952e-2        1.403e-2
   1           2.630        9.173e-1        1.403e-2
   1           3.542           6.584        1.403e-2
   1           1.419           1.074        1.403e-2
   1           1.864        1.695e-1        1.403e-2
   1           1.798           5.598        1.403e-2
   1           1.013        2.709e-1        1.403e-2
   1           3.009        7.860e-1        1.403e-2
   1           1.940        9.552e-2        1.403e-2
   1           1.545        4.353e-1        1.403e-2
   1           1.812        8.195e-1        1.403e-2
   1           1.181        1.353e-1        1.403e-2
   1           3.064        2.624e-1        1.403e-2
   1        7.021e-1           1.009        1.403e-2
   1           1.499           1.450        1.403e-2
   1           3.351        1.363e-1        1.403e-2
   1           1.029        2.401e-1        1.403e-2
   1           1.900        5.799e-1        1.403e-2
   1        8.755e-1        2.411e-1        1.403e-2
   1           2.734          11.894        1.403e-2
   1           1.387        4.661e-1        1.403e-2
   1           1.016        9.689e-2        1.403e-2
   1           3.267        1.728e-1        1.403e-2
   1           1.908        7.103e-2        1.403e-2
   1           1.860        1.916e-1        1.403e-2
   1           1.717        2.329e-1        1.403e-2
   1           1.837           1.339        1.403e-2
   1           1.418        9.891e-2        1.403e-2
   1           3.238        9.074e-1        1.403e-2
   1           1.228           3.370        1.403e-2
   1           2.708        2.067e-1        1.403e-2
   1           2.589        2.427e-1        1.403e-2
   1           1.665        6.487e-1        1.403e-2
   1           1.841           9.294        1.403e-2
   1           1.159           1.753        1.403e-2
   1        9.209e-1        7.922e-1        1.403e-2
   1           1.962           2.022        1.403e-2
   1        9.987e-1        1.836e-1        1.403e-2
   1           2.206        6.558e-1        1.403e-2
   1           2.514        4.365e-1        1.403e-2
   1           3.349           1.934        1.403e-2
   1           2.253        2.005e-1        1.403e-2
   1           1.630        1.361e-1        1.403e-2
   1           2.258           3.419        1.403e-2
   1           1.070           2.359        1.403e-2
   1           1.557        2.571e-1        1.403e-2
   1           1.718           5.430        1.403e-2
   1           1.259        1.858e-1        1.403e-2
   1           1.261        5.035e-2        1.403e-2
   1           3.860        2.901e-1        1.403e-2
   1           1.671        4.465e-1        1.403e-2
   1           1.259        1.477e-1        1.403e-2
   1           4.317        7.074e-1        1.403e-2
   1           2.490           4.855        1.403e-2
   1           4.077        1.112e-1        1.403e-2
   1           1.253        4.626e-1        1.403e-2
   1           2.828           1.606        1.403e-2
   1           3.005           5.771        1.403e-2
   1           2.347          11.402        1.403e-2
   1           2.014        2.884e-1        1.403e-2
   1           2.085        4.281e-1        1.403e-2
   1           2.058        2.002e-1        1.403e-2
   1           1.464        1.154e-1        1.403e-2
   1           2.724        1.564e-1        1.403e-2
   1           1.751           2.955        1.403e-2
   1        9.443e-1        8.962e-2        1.403e-2
   1           3.622        8.810e-1        1.403e-2
   1           1.720        5.221e-2        1.403e-2
   1           1.737        5.958e-1        1.403e-2
   1           1.240        1.345e-1        1.403e-2
