scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           4252          16190          15620       5.157e-4       2.792e-1       1.351e-7
   1           5684           9029          15214       3.626e-4       1.997e-1       1.159e-7
   1           2695           9226           3302       6.737e-4       2.936e-1       1.784e-6
   1           4659          14144           9250       3.831e-4       1.402e-1       2.532e-7
   1           3901          16862           7405       5.760e-4       2.863e-1       3.796e-6
   1           5111           7433          12815       4.902e-4       2.991e-1       3.366e-8
   1           3033          11683          12102       4.854e-4       2.938e-1       6.049e-8
   1           4947          11487           5895       7.218e-4       2.188e-1       4.706e-7
   1           4389           9473           5911       3.356e-4       2.296e-1       9.901e-6
   1           5522          14066           9281       2.613e-4       2.215e-1       2.602e-6
   1           4391           4585          10919       4.049e-4       1.204e-1       3.867e-8
   1           3563           8539           7749       2.191e-4       1.474e-1       9.674e-6
   1           2185          22816           2930       5.141e-4       2.984e-1       1.636e-6
   1           3904          18265           9331       7.218e-4       1.404e-1       6.706e-7
   1           3886            343           2439       8.598e-4       2.225e-1       6.750e-6
   1           3006          16123           9229       2.937e-4       2.822e-1       8.140e-6
   1           5906           8787           3523       1.953e-4       2.160e-1       2.347e-8
   1           2142          15501           7558       7.075e-4       2.373e-1       9.181e-6
   1           3763          18620          10960       7.693e-4       3.000e-1       9.490e-6
   1           4433          15245           7288       2.399e-4       2.752e-1       1.470e-6
   1           2229           7020          14751       6.105e-4       2.640e-1       3.571e-7
   1           5274           7200          10803       2.678e-4       2.749e-1       2.123e-7
   1           5954           8061          10836       3.062e-4       2.590e-1       6.495e-6
   1           5694          11950          11278       3.916e-4       1.494e-1       1.643e-7
   1           3678          12343           9319       8.186e-4       2.111e-1       4.689e-6
   1           3724          19219           1213       7.261e-4       2.182e-1       6.621e-7
   1           3300           7012           4804       5.476e-4       2.619e-1       5.954e-6
   1           3261           8242           2780       5.621e-4       2.996e-1       7.901e-7
   1           4270          11314           4796       4.254e-4       2.812e-1       1.828e-7
   1           2936          13247           9456       3.584e-4       1.425e-1       6.613e-6
   1           4327          10165           9743       2.875e-4       2.219e-1       1.000e-5
