State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
8562	0.0625	-4472.240831	3.1209	0.652698	3.758695	0.298299	-3.139308	0.301213	3.835172	0.737288
8563	0.084211	-4518.257779	3.867127	0.644664	4.580632	0.254684	-3.885536	0.292909	4.581399	0.732553
8564	0.061728	-4264.889858	3.95135	0.657504	4.653037	0.327335	-3.944862	0.316001	4.640725	0.732553
8565	0.055556	-3917.959797	1.990389	0.568728	2.600001	0.295183	-1.891827	0.316001	2.679764	0.724877
8566	0.077778	-3905.291168	1.656827	0.568728	2.26644	0.288173	-1.569131	0.32559	2.357069	0.752096
8567	0.072165	-3706.444898	3.66511	0.681298	4.265168	0.287123	-3.508068	0.290271	4.365351	0.752096
8568	0.04902	-3801.984079	3.014561	0.678954	3.589307	0.297751	-2.85752	0.290271	3.714803	0.811321
8569	0.126126	-3890.497946	3.791471	0.476496	4.366217	0.433084	-3.63443	0.288772	4.491712	0.761566
8570	0.144231	-4136.817807	4.537681	0.63191	4.967402	0.305137	-4.400849	0.3376	5.258132	0.769415
8571	0.076087	-3863.304743	5.221367	0.684238	5.651088	0.472811	-5.084535	0.31549	5.941818	0.838133
8572	0.142857	-4224.936057	4.386111	0.621637	4.815832	0.344088	-4.249279	0.323294	5.106562	0.838133
8573	0.075269	-4087.082372	3.393412	0.547294	3.823133	0.428306	-3.25658	0.323294	4.113863	0.829731
8574	0.095238	-4212.417355	3.27795	0.692149	3.680174	0.347058	-3.141118	0.360439	3.9984	0.899939
8575	0.080357	-4049.795827	2.983927	0.738134	3.343649	0.380821	-2.791067	0.388154	3.704378	0.901547
8576	0.117021	-3866.167136	3.373991	0.756263	3.743919	0.285604	-3.191337	0.421847	4.104648	0.901547
8577	0.09901	-4412.28379	2.927129	0.559105	3.362156	0.285604	-2.809574	0.40776	3.722885	0.901547
8578	0.05814	-4479.250602	2.27752	0.615764	2.712547	0.327687	-2.159965	0.406535	2.964922	0.901547
8579	0.061856	-4819.225276	4.121862	0.861964	4.556889	0.294807	-4.004307	0.404386	4.809264	0.891139
8580	0.114286	-4200.937284	2.910839	0.780957	3.285654	0.318504	-2.733071	0.457426	3.598242	0.891139
8581	0.12	-4523.373637	3.30237	0.780957	3.677184	0.238219	-3.124601	0.367877	3.989772	0.892186
8582	0.076087	-4382.297752	4.936651	0.763205	5.328884	0.26848	-4.776301	0.367877	5.624053	0.863669
8583	0.128571	-4144.452093	2.033392	0.633766	2.433616	0.096732	-1.881034	0.367439	2.728785	0.863669
8584	0.106667	-4085.081044	2.996581	0.628636	3.401721	0.102637	-2.849138	0.367439	3.691974	0.872969
8585	0.047059	-4325.864446	3.933635	0.676774	4.338775	0.118939	-3.786192	0.387014	4.629028	0.872969
8586	0.121212	-4470.001282	1.427352	0.690373	1.840874	0.182079	-1.279909	0.398062	2.122745	0.872969
8587	0.070707	-4376.828214	2.740707	0.650233	3.154229	0.302005	-2.593264	0.398062	3.408649	0.783935
8588	0.131579	-4584.334865	2.965047	0.682473	3.390855	0.347974	-2.829891	0.398062	3.63299	0.831839
8589	0.058824	-4766.14817	4.252162	0.784505	4.67797	0.291042	-4.117006	0.293185	4.875619	0.825282
8590	0.023529	-5078.347165	3.398263	0.784505	3.824071	0.319598	-3.263107	0.293185	4.02172	0.825282
8591	0.059406	-5308.457186	3.129303	0.897858	3.555111	0.319598	-2.994147	0.27721	3.75276	0.836939
8592	0.131868	-5357.282291	3.601475	0.871647	4.050149	0.268177	-3.489185	0.300815	4.270265	0.859136
8593	0.066038	-5817.565551	3.687658	0.871647	4.136332	0.289241	-3.648598	0.336875	4.356448	0.859136
8594	0.060241	-5297.554562	4.346866	0.871647	4.694291	0.309143	-4.206557	0.336875	4.914407	0.800196
8595	0.049383	-5180.911016	4.671287	0.871647	5.018712	0.284645	-4.539902	0.352193	5.247752	0.790597
8596	0.044944	-5218.131054	2.312089	0.901387	2.659514	0.299702	-2.180704	0.335631	2.888553	0.790597
8597	0.049505	-5132.090441	2.494972	0.896548	2.842397	0.291846	-2.358581	0.335631	3.066431	0.826586
8598	0.068966	-5206.038189	5.634842	0.906151	5.982267	0.283105	-5.498451	0.304417	6.206301	0.822349
8599	0.038835	-5005.636063	2.592565	0.906151	2.939991	0.283105	-2.397374	0.269303	3.164024	0.822349
8600	0.018182	-5466.045429	3.078563	0.906151	3.425988	0.24174	-2.883371	0.260853	3.650022	0.822349
8601	0.088496	-5181.68751	4.349459	0.873048	4.715086	0.309815	-4.172469	0.283548	4.93912	0.834686
8602	0.073394	-5168.036216	4.506603	0.873048	4.87223	0.299969	-4.329613	0.277474	5.214336	0.920357
8603	0.027778	-5327.661155	1.721258	0.920473	2.086885	0.299969	-1.544269	0.278564	2.428992	0.920357
8604	0.008772	-5219.638254	4.377182	0.920473	4.742809	0.289502	-4.200193	0.278564	5.084916	0.920357
8605	0.073684	-5307.303288	2.954448	0.920558	3.320075	0.280584	-2.777458	0.300715	3.662181	0.920357
