State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
2316	0.337079	-3168.482824	4.064106	0.628872	5.526169	0.08892	-4.003095	0.04446	5.467634	0.134021
2317	0.384615	-3277.222824	3.841774	0.628872	5.386403	0.104344	-3.785123	0.048435	5.249661	0.274879
2318	0.367925	-3187.407035	3.313064	0.631328	4.744918	0.055356	-3.256412	0.072956	4.720951	0.277141
2319	0.258427	-3144.69677	3.322017	0.631328	4.773959	0.115783	-3.265365	0.071089	4.729904	0.320221
2320	0.285714	-3386.704378	3.548421	0.609572	5.000363	0.085588	-3.491769	0.076324	4.956308	0.269151
2321	0.359223	-3191.92525	3.863463	0.644848	5.315406	0.07484	-3.806812	0.037796	5.271351	0.254025
2322	0.333333	-3300.178205	3.67017	0.642951	5.122113	0.254014	-3.613519	0.081414	5.078057	0.050791
2323	0.390244	-3249.187651	1.93159	0.611724	3.383533	0.221487	-1.878144	0.060359	3.342683	0.06493
2324	0.395062	-3397.899066	3.233105	0.611724	4.68133	0.124317	-3.175941	0.015342	4.644198	0.058456
2325	0.40367	-3513.548876	4.118636	0.636029	5.677492	0.029261	-4.172103	0.042234	5.64036	0.141443
2326	0.305085	-3555.956886	2.78959	0.605115	4.276645	0.071657	-2.805309	0.042873	4.273565	0.07471
2327	0.426087	-3593.777965	3.81789	0.605115	5.301733	0.193842	-3.833609	0.04766	5.301866	0.101065
2328	0.416667	-3397.560865	2.891403	0.629721	4.367521	0.149846	-2.852215	0.041476	4.367654	0.070906
2329	0.413043	-3629.439152	3.33251	0.707201	4.899189	0.156192	-3.408489	0.150396	4.839197	0.023996
2330	0.484211	-3743.743339	2.563447	0.760279	4.121311	0.114045	-2.639425	0.112444	4.070134	0.094165
2331	0.326087	-3716.392774	4.0206	0.697543	5.505355	0.110146	-4.023469	0.079474	5.527287	0.188921
2332	0.320513	-3367.180777	2.266484	0.661364	3.652744	0.076261	-2.269352	0.087745	3.635652	0.484707
2333	0.333333	-3709.562118	3.200383	0.542377	4.62479	0.18368	-3.203251	0.050754	4.569551	0.569044
2334	0.343434	-3265.009555	2.530028	0.79375	3.954435	0.197763	-2.532896	0.11838	3.899196	0.262068
2335	0.298077	-3494.539619	2.074726	0.791384	3.494321	0.130633	-2.033939	0.070223	3.443895	0.12565
2336	0.38835	-3531.931058	3.908123	0.73763	5.327717	0.070569	-3.867335	0.07394	5.326131	0.380289
2337	0.485714	-3505.604996	3.196037	0.849933	4.659706	0.026277	-3.25092	0.119686	4.614045	0.490194
2338	0.396226	-3572.453117	4.392944	0.937472	5.856614	0.017821	-4.439494	0.14217	5.810953	0.442576
