scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           5010           6513            929       7.940e-4       3.000e-1       9.090e-7
   1           3918           8667           5552       9.345e-4       3.000e-1       3.041e-7
   1           5313          15480           4915       7.855e-4       2.815e-1       6.011e-7
   1           4651           9432          14640       7.251e-4       3.000e-1       4.634e-6
   1           4895          11504          14753       9.123e-4       2.769e-1       6.841e-6
   1           3929          13292           8467       1.000e-3       2.940e-1       8.459e-7
   1           3474           8812           4007       7.693e-4       3.000e-1       4.946e-8
   1           4568          15514           9505       9.969e-4       3.000e-1       3.886e-6
   1           3383          16446           3572       8.131e-4       3.000e-1       1.000e-5
   1           3928          15519           6795       8.101e-4       2.967e-1       8.985e-6
   1           4312          15329          13249       8.869e-4       3.000e-1       3.447e-6
   1           4283          14948           4613       9.143e-4       2.481e-1       7.396e-6
   1           5681          12323           6716       9.992e-4       2.734e-1       1.185e-7
   1           6208           5487          15941       8.809e-4       3.000e-1       7.183e-8
   1           4869           2528           3268       9.836e-4       3.000e-1       2.036e-6
   1           4568          11679           8197       9.597e-4       3.000e-1       1.651e-6
   1           4147          11400          15709       7.801e-4       2.571e-1       4.048e-6
   1           4801           9422           2837       8.721e-4       3.000e-1       2.406e-6
   1           4104           4612           9249       9.685e-4       2.652e-1       9.303e-6
   1           6068          16335           9629       7.989e-4       2.484e-1       1.406e-8
   1           4624          20301           2527       8.538e-4       3.000e-1       1.041e-6
   1           5627          11192          16889       5.838e-4       2.855e-1       1.461e-7
   1           3496           9341           7525       8.536e-4       3.000e-1       1.000e-5
   1           5505          14599           9217       9.826e-4       3.000e-1       9.907e-8
   1           2440          15544           9704       8.732e-4       2.887e-1       8.191e-6
   1           5241           9566           7009       1.000e-3       3.000e-1       2.113e-6
   1           4377          14502           6010       1.000e-3       2.785e-1       1.847e-6
   1           3799           6206          10124       9.564e-4       2.975e-1       3.726e-7
   1           6172          11697          14409       8.307e-4       2.862e-1       7.603e-7
   1           6059          10807            535       8.734e-4       3.000e-1       1.102e-7
   1           5974          14361           6703       8.182e-4       2.784e-1       1.099e-6
   1           3639           8382           3106       8.873e-4       3.000e-1       9.797e-6
   1           4292          16969           6789       9.969e-4       2.978e-1       1.114e-6
   1           3179          18221           8375       9.272e-4       3.000e-1       3.471e-7
   1           5083          10169          10080       5.063e-4       2.989e-1       1.336e-7
   1           6167           8873           1251       7.606e-4       3.000e-1       7.889e-6
   1           5447          16929           1041       7.931e-4       3.000e-1       4.232e-6
   1           5779          10785           6891       9.055e-4       2.374e-1       2.965e-7
   1           6031           8775          10144       6.479e-4       2.910e-1       4.364e-6
   1           3049          17626           7113       9.022e-4       2.724e-1       1.036e-6
   1           3169           8695           2017       9.759e-4       3.000e-1       1.129e-7
   1           5140          11809           4929       6.816e-4       3.000e-1       2.535e-6
   1           4486           5170           7185       9.182e-4       3.000e-1       2.040e-7
   1           3799           7488           6659       8.629e-4       2.954e-1       7.986e-6
   1           5582          11677           5005       8.255e-4       2.547e-1       8.955e-6
   1           4378          11543            862       9.271e-4       2.893e-1       5.457e-6
   1           3965           6745           2578       8.546e-4       3.000e-1       8.405e-6
   1           4576          13081           3983       9.541e-4       2.872e-1       2.843e-6
   1           5854          14031           8457       6.972e-4       2.422e-1       6.233e-6
   1           4587          11622           7591       6.497e-4       3.000e-1       4.119e-8
   1           3694          11991           4808       6.188e-4       3.000e-1       2.491e-7
   1           6726          18415          14147       7.526e-4       2.895e-1       1.692e-6
   1           4970          15754          11745       8.628e-4       3.000e-1       8.710e-6
   1           4397           8573           8707       9.504e-4       2.950e-1       5.322e-7
   1           4622          13094           9494       8.817e-4       3.000e-1       4.247e-7
   1           4672           7733           4159       7.392e-4       3.000e-1       8.279e-6
   1           5664          16571           4021       5.781e-4       2.956e-1       6.036e-6
   1           5417          11937            719       7.722e-4       3.000e-1       9.104e-6
   1           4142           8433           5053       7.415e-4       3.000e-1       1.718e-7
   1           5352          14524           3122       9.445e-4       3.000e-1       5.423e-6
   1           5369          22115           1254       7.811e-4       2.951e-1       6.700e-6
   1           3891           5953           7118       8.053e-4       3.000e-1       1.296e-6
   1           3342          17827           1375       9.430e-4       3.000e-1       8.270e-6
   1           4746           6100           6944       9.654e-4       2.836e-1       8.905e-7
   1           4502          18033          10486       8.758e-4       2.844e-1       1.379e-7
   1           5111           8075           6628       9.305e-4       2.963e-1       1.862e-7
   1           3265          17837           5962       9.167e-4       3.000e-1       4.224e-6
   1           6139          14065           7411       9.375e-4       2.912e-1       1.204e-7
   1           5572           7480           4658       9.835e-4       3.000e-1       6.655e-6
   1           6232          13269           8768       8.793e-4       3.000e-1       2.284e-7
   1           4779           8567           2447       9.426e-4       3.000e-1       2.459e-6
   1           3895          14087           5747       1.000e-3       2.951e-1       1.072e-6
   1           4259           9317           2340       7.792e-4       2.995e-1       1.518e-6
   1           4433           9960           5573       7.990e-4       3.000e-1       3.971e-6
   1           5143           9469           4231       7.337e-4       3.000e-1       5.947e-6
   1           4025          12323           5537       9.344e-4       2.987e-1       1.801e-8
   1           3666          12913           6884       9.588e-4       3.000e-1       6.426e-6
   1           5684          12840           5137       6.737e-4       3.000e-1       3.049e-6
   1           5093           4018           1715       7.827e-4       3.000e-1       4.553e-6
   1           5604           9681           6678       9.743e-4       3.000e-1       1.345e-7
   1           4407          11225          15739       8.926e-4       2.853e-1       6.313e-8
   1           4540          10434           4920       9.179e-4       3.000e-1       9.687e-6
   1           4116          16874           7162       9.456e-4       3.000e-1       1.755e-6
   1           4453          14239           7634       8.481e-4       3.000e-1       2.054e-6
   1           3626           9469           3109       9.026e-4       3.000e-1       5.936e-6
   1           5105          22054           5496       6.418e-4       2.975e-1       1.909e-6
   1           4148           4602           7155       9.136e-4       2.886e-1       9.771e-6
   1           6152          12837          10126       7.519e-4       3.000e-1       9.056e-6
   1           4603          18185           3220       7.635e-4       3.000e-1       2.547e-8
   1           4458           5361           8205       7.773e-4       3.000e-1       5.141e-6
   1           4513          11711           3604       8.014e-4       3.000e-1       2.847e-7
   1           3738          10939           4866       9.772e-4       3.000e-1       2.752e-6
   1           4913           1228           6178       7.627e-4       2.869e-1       1.850e-6
   1           5489           8810           9031       6.719e-4       3.000e-1       8.457e-6
   1           3930           4369           8525       7.570e-4       2.787e-1       8.876e-6
   1           5763          10940           5525       9.078e-4       2.833e-1       5.576e-6
   1           5250          11863           8070       8.723e-4       2.930e-1       3.774e-6
   1           3939          16012           9225       9.904e-4       2.953e-1       9.026e-6
   1           5311          19978           4011       7.377e-4       3.000e-1       1.000e-5
   1           5546           6221           6940       5.722e-4       3.000e-1       2.618e-7
   1           5367           4003           8648       9.629e-4       2.753e-1       2.039e-6
   1           5013          11850           7643       6.480e-4       2.540e-1       2.220e-7
   1           4825          13495           7343       5.005e-4       2.832e-1       9.524e-7
   1           4947          13340           7889       9.407e-4       2.877e-1       8.398e-6
   1           5474          13465          10327       5.671e-4       2.902e-1       1.000e-5
   1           4681          10831           6864       8.867e-4       2.559e-1       1.000e-5
   1           6416          20717           6885       7.692e-4       3.000e-1       4.379e-7
   1           5963          10675           5201       8.748e-4       2.984e-1       2.687e-6
   1           5439          11844           3602       6.633e-4       2.991e-1       1.384e-7
   1           5516          13048           8971       8.120e-4       3.000e-1       1.054e-7
   1           5168           8435           7666       9.289e-4       2.645e-1       3.351e-6
   1           4994           8951           7684       7.301e-4       2.992e-1       4.336e-6
   1           6095          15457           5434       9.046e-4       3.000e-1       1.405e-7
   1           5137           7112          17315       9.773e-4       3.000e-1       7.071e-7
   1           5392          10843           4757       8.690e-4       2.461e-1       5.868e-6
   1           6180           4818           7246       1.000e-3       2.840e-1       8.687e-7
   1           6246          10408           4586       1.000e-3       2.975e-1       7.828e-6
   1           4402           8225           7257       8.818e-4       3.000e-1       2.822e-6
   1           5731           7815           9082       9.247e-4       2.964e-1       8.683e-7
   1           5650           5997          10431       7.019e-4       3.000e-1       2.145e-6
   1           4342          12787           2810       8.730e-4       3.000e-1       7.333e-6
   1           4802          10397           2910       8.034e-4       3.000e-1       6.635e-7
   1           6182          15444           9706       5.314e-4       3.000e-1       2.446e-6
   1           4978           7981           7925       9.822e-4       2.044e-1       7.068e-8
   1           3826          11749           4000       8.880e-4       3.000e-1       5.526e-6
   1           3323           7773           1496       9.365e-4       3.000e-1       3.817e-6
   1           4291           6115           4781       8.425e-4       2.723e-1       1.171e-7
   1           3323          20009           3009       7.405e-4       2.970e-1       9.448e-6
   1           6150          13245           8564       7.111e-4       2.346e-1       3.459e-6
   1           4458          17267           2513       9.509e-4       3.000e-1       1.809e-8
   1           4551          14788           3186       9.393e-4       3.000e-1       3.709e-6
   1           5966          16151           3534       5.197e-4       3.000e-1       1.937e-6
   1           6214           8217           4480       7.746e-4       3.000e-1       1.725e-6
   1           5579          15795           6726       8.182e-4       2.972e-1       5.830e-7
   1           6086          11851           4262       7.925e-4       3.000e-1       2.276e-7
   1           6137          14160           5448       8.947e-4       2.711e-1       1.879e-6
   1           4315          16690           2267       9.286e-4       2.896e-1       3.272e-7
   1           3738          10469          11030       8.466e-4       2.766e-1       3.883e-8
   1           6163          15574           3740       9.193e-4       3.000e-1       2.756e-8
   1           5381           5800          14874       5.210e-4       2.875e-1       1.295e-7
   1           4215          12905           4417       9.257e-4       3.000e-1       2.963e-7
   1           5516           8930          28964       9.827e-4       2.894e-1       3.096e-6
   1           4099          16858           6977       9.996e-4       3.000e-1       9.756e-6
   1           4243          12395          14924       9.509e-4       3.000e-1       6.888e-6
   1           4743          18527           4826       8.195e-4       3.000e-1       3.335e-6
   1           6249          15319           7216       5.357e-4       2.919e-1       9.136e-7
   1           4385           5920           5810       9.740e-4       3.000e-1       4.876e-7
   1           5530          15205          11542       9.244e-4       3.000e-1       4.932e-7
   1           4742          15191          14480       9.115e-4       3.000e-1       1.141e-6
   1           4280           8428           4908       9.850e-4       2.943e-1       3.555e-8
   1           5339          10758           7605       8.854e-4       3.000e-1       8.129e-6
   1           5581          20595           5947       8.647e-4       2.920e-1       2.239e-6
   1           4529          13247           9005       8.646e-4       3.000e-1       3.569e-7
   1           5988           4567           4946       9.643e-4       2.938e-1       9.297e-7
   1           3830          10853           6670       9.404e-4       2.955e-1       2.804e-6
   1           3660          10256           2027       9.543e-4       3.000e-1       8.180e-7
   1           5533          16573           8159       4.807e-4       3.000e-1       7.143e-6
   1           5232          11075           2437       8.748e-4       3.000e-1       4.596e-6
   1           4572           8697           1009       9.391e-4       3.000e-1       1.075e-7
   1           4822          13791           2992       5.899e-4       3.000e-1       1.459e-6
   1           4530           4878           7930       1.000e-3       3.000e-1       9.388e-7
   1           3941          20719           5188       7.107e-4       3.000e-1       9.696e-7
   1           3582           8831           6032       8.957e-4       3.000e-1       6.566e-7
   1           4421           8801           7307       7.087e-4       3.000e-1       8.360e-6
   1           2936          10150           3840       8.529e-4       3.000e-1       4.690e-7
   1           5037          11330           7596       8.100e-4       2.981e-1       8.944e-6
   1           3250          12889           3619       9.263e-4       3.000e-1       1.000e-5
   1           3942           5588          13945       9.423e-4       3.000e-1       6.430e-6
   1           5205          10487          11568       8.127e-4       3.000e-1       1.363e-6
   1           4739           9458           3181       9.929e-4       3.000e-1       6.218e-8
   1           4257          14427           7027       6.547e-4       3.000e-1       6.819e-8
   1           5874          14246          10947       9.172e-4       3.000e-1       3.429e-6
   1           4195           8527           5351       3.561e-4       3.000e-1       7.340e-7
   1           4363          15952           9198       8.852e-4       3.000e-1       2.175e-7
   1           5798          16005          11579       8.837e-4       2.848e-1       2.745e-6
   1           5336           7648           5831       6.211e-4       3.000e-1       3.837e-6
   1           6090           9191          18869       6.107e-4       2.921e-1       5.112e-7
   1           3663           6906           3424       8.429e-4       3.000e-1       5.879e-7
   1           3085            575           6458       5.995e-4       2.850e-1       5.998e-7
   1           4025          12600           9219       9.166e-4       2.999e-1       7.269e-6
   1           4602          10495           4089       7.630e-4       3.000e-1       2.916e-6
   1           4898          11615          15145       6.794e-4       2.888e-1       2.213e-6
   1           4229           7337           6898       5.100e-4       2.837e-1       1.000e-5
   1           4524          21004           8383       7.999e-4       3.000e-1       3.095e-7
   1           4418           3198           3502       9.695e-4       2.739e-1       1.484e-7
   1           6271          13596           2042       6.137e-4       2.630e-1       8.395e-7
   1           5211          10471           6019       4.759e-4       3.000e-1       4.599e-6
   1           4587          11925           6060       6.719e-4       3.000e-1       9.788e-6
   1           5580          10177          10887       6.054e-4       2.826e-1       6.791e-6
   1           3792          15732           4938       6.720e-4       3.000e-1       2.349e-7
   1           5645           9265           5788       8.399e-4       3.000e-1       1.623e-7
   1           4918           6315           5028       9.569e-4       3.000e-1       1.737e-6
   1           6545           6262          10923       8.172e-4       2.561e-1       8.295e-7
   1           4651          14359           6529       7.166e-4       2.807e-1       8.226e-6
   1           5965          14293           8426       8.475e-4       2.990e-1       1.963e-6
   1           4024           8287          12464       8.411e-4       2.074e-1       2.565e-7
   1           4960          17191          10625       8.285e-4       3.000e-1       7.031e-6
   1           4253          16965          19190       8.811e-4       2.909e-1       4.833e-7
   1           5004          16156           4792       7.972e-4       2.882e-1       7.874e-6
   1           3675           9304           5622       9.245e-4       3.000e-1       9.872e-6
   1           4510          19599          14528       8.873e-4       2.957e-1       1.646e-7
   1           2786          10971           5835       9.217e-4       2.893e-1       1.000e-5
   1           3817          21623           5487       9.884e-4       2.891e-1       9.685e-7
   1           4333          16209           9070       1.000e-3       3.000e-1       4.626e-7
   1           5727          10518          13727       9.503e-4       2.875e-1       1.623e-7
   1           5629          10662          10594       8.403e-4       2.474e-1       9.431e-6
   1           3976          16471           3750       7.033e-4       2.812e-1       1.000e-5
   1           3529          18522           3110       9.296e-4       3.000e-1       7.746e-8
   1           4519          13369           4530       9.499e-4       3.000e-1       4.849e-6
   1           4271          12445          15813       9.687e-4       2.996e-1       8.623e-6
   1           6220          13264          14016       5.760e-4       3.000e-1       1.000e-5
   1           5069           1997           6743       6.364e-4       3.000e-1       1.164e-7
   1           5260           8475          10116       8.213e-4       2.993e-1       7.017e-6
   1           4822          14386           1996       6.763e-4       3.000e-1       7.819e-6
   1           4248           9688           4550       8.399e-4       3.000e-1       2.537e-7
   1           5816           3075           1545       8.421e-4       2.950e-1       8.024e-6
   1           3280          18120          12340       1.000e-3       2.503e-1       3.772e-6
   1           4582           4560          10936       6.111e-4       2.681e-1       7.487e-6
   1           5947          13791           8701       9.408e-4       3.000e-1       2.695e-7
   1           4034          16194           9075       9.031e-4       3.000e-1       3.016e-6
   1           4088          14718           4752       7.261e-4       3.000e-1       8.220e-6
   1           3959          12734          11635       5.941e-4       2.921e-1       6.171e-6
   1           5414           3633         80.009       9.536e-4       3.000e-1       9.909e-6
   1           4031          11477          10925       1.000e-3       2.711e-1       3.481e-6
   1           4349          13764           3887       5.317e-4       3.000e-1       6.276e-6
   1           3367          10795           4341       8.945e-4       2.868e-1       5.280e-7
   1           3287           8078           9400       9.736e-4       3.000e-1       9.765e-6
   1           4903          15225           8696       8.126e-4       3.000e-1       1.958e-6
   1           5233           8023          10499       8.202e-4       2.821e-1       8.497e-6
   1           5551           8565           6780       1.000e-3       3.000e-1       1.435e-6
   1           5277          12421           1198       6.139e-4       3.000e-1       2.546e-8
   1           5127          14077           3824       8.842e-4       1.866e-1       6.005e-6
   1           4122          18419           5720       8.107e-4       3.000e-1       7.492e-6
   1           5153          23192           1869       9.332e-4       2.967e-1       4.764e-8
