scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           3858          10062          13149       6.420e-4       3.000e-1       7.947e-6
   1           4281          11892           6059       7.294e-4       2.976e-1       9.051e-6
   1           6392          12199           6689       4.714e-4       2.943e-1       9.049e-6
   1           6280          10119           7433       8.776e-4       2.992e-1       4.907e-7
   1           4417          10116           5623       7.927e-4       2.976e-1       7.457e-6
   1           4242          12675            672       5.151e-4       3.000e-1       1.000e-5
   1           5630          23016           8800       3.905e-4       2.994e-1       8.085e-6
   1           5975           5031           8224       4.879e-4       2.986e-1       2.632e-6
   1           5622           9735           5209       9.472e-4       3.000e-1       8.550e-6
   1           5654           7274           5114       9.497e-4       3.000e-1       5.986e-6
   1           3943          17613           4857       8.715e-4       3.000e-1       1.000e-5
   1           3048           7254           2474       9.682e-4       2.695e-1       2.377e-7
   1           3996          13995           6145       7.811e-4       2.942e-1       1.794e-6
   1           6562          21914           1027       6.798e-4       2.934e-1       5.303e-7
   1           2946          15030          16945       5.749e-4       3.000e-1       5.265e-6
   1           2567          16712           9633       7.609e-4       3.000e-1       1.000e-5
   1           4761           3021           4785       8.635e-4       3.000e-1       3.822e-6
   1           5414          10084           9787       8.325e-4       2.657e-1       7.709e-6
   1           3268           7809           4666       5.503e-4       3.000e-1       2.661e-6
   1           3381           9136           3899       9.002e-4       3.000e-1       1.294e-6
   1           4304          15875          12719       8.893e-4       3.000e-1       8.452e-6
   1           3980          14570           4583       9.684e-4       2.819e-1       4.126e-6
   1           4748           8404           5472       5.053e-4       3.000e-1       7.803e-7
   1           2530          10619           4255       9.963e-4       2.890e-1       8.852e-6
   1           3455           3617          11851       7.049e-4       2.830e-1       7.037e-6
   1           4013          18473            910       9.119e-4       2.859e-1       5.087e-7
   1           6069          12884          11270       9.211e-4       2.904e-1       2.077e-6
   1           5373          15689           6416       9.070e-4       2.407e-1       1.570e-6
   1           4046          19113           3449       9.809e-4       3.000e-1       9.026e-6
   1           5157          13054          10563       5.728e-4       3.000e-1       1.000e-5
   1           4903           6306           1789       6.720e-4       3.000e-1       5.911e-6
   1           4854          10961          10327       6.650e-4       2.901e-1       9.680e-6
   1           4837          12933           7402       8.271e-4       3.000e-1       9.864e-6
   1           3402           7694           3502       7.381e-4       3.000e-1       5.516e-6
   1           4366          15502           2531       9.255e-4       3.000e-1       9.700e-6
   1           4900          12875          11192       8.095e-4       3.000e-1       3.811e-7
   1           2787            908           8523       9.664e-4       2.644e-1       7.672e-6
   1           5448           6913          12013       7.788e-4       3.000e-1       7.878e-6
   1           3894           2159           6861       8.571e-4       2.572e-1       6.403e-6
   1           5504           6135           8509       5.631e-4       2.655e-1       3.028e-6
   1           4242          12111           6881       9.088e-4       2.954e-1       3.715e-6
   1           2730          16286           8630       9.887e-4       3.000e-1       4.737e-6
   1           3505          18379           7991       8.265e-4       2.909e-1       1.000e-5
   1           3755          14864           9201       9.444e-4       3.000e-1       6.364e-6
   1           4348          17043           7905       7.065e-4       3.000e-1       7.347e-6
   1           5449          12454           4552       9.498e-4       2.748e-1       2.207e-6
   1           4007           8179          18351       6.958e-4       3.000e-1       5.887e-6
   1           3339          12119           6217       9.356e-4       3.000e-1       4.857e-7
   1           6362          15678          10269       6.699e-4       2.208e-1       9.970e-6
   1           5008          15147          12764       7.651e-4       3.000e-1       3.299e-6
   1           5373          10714           9498       8.921e-4       2.071e-1       8.943e-6
   1           4340          15456           3707       8.558e-4       2.910e-1       7.501e-6
   1           4284          11016           6214       6.356e-4       2.988e-1       6.721e-6
   1           4105           1922          10671       6.996e-4       2.503e-1       3.523e-6
   1           4504          16934           8264       9.793e-4       2.967e-1       1.361e-6
   1           5417          17175           5691       9.338e-4       3.000e-1       9.866e-6
   1           4982          15427           5258       7.317e-4       2.862e-1       1.077e-6
   1           6163          10483          26241       6.552e-4       2.144e-1       9.895e-6
   1           6150          11082           7935       4.534e-4       2.990e-1       9.097e-6
   1           4981           7365           6252       7.756e-4       2.509e-1       6.693e-6
   1           3582          17073           6524       8.929e-4       2.952e-1       9.645e-6
   1           4597          12861          10176       8.762e-4       2.656e-1       1.000e-5
   1           4595          13030           3088       6.570e-4       2.920e-1       8.071e-6
   1           4640          15813           3251       6.061e-4       3.000e-1       8.670e-6
   1           5341          15605           4466       8.417e-4       3.000e-1       1.000e-5
   1           5082           9937            120       7.380e-4       3.000e-1       3.076e-7
   1           5215          14661          10837       5.729e-4       2.956e-1       1.000e-5
   1           5331          15245           3079       7.628e-4       3.000e-1       1.000e-5
   1           3396          16223           8359       8.573e-4       3.000e-1       3.901e-6
   1           4292          17304            637       6.748e-4       3.000e-1       8.568e-6
   1           3509           3332           7861       7.128e-4       2.779e-1       4.441e-6
   1           4953          13881           5795       8.876e-4       3.000e-1       4.071e-7
   1           5540          12577          12676       4.845e-4       3.000e-1       2.806e-6
   1           4731          11321           5640       8.859e-4       3.000e-1       6.581e-6
   1           4818          12076           9915       5.390e-4       3.000e-1       7.410e-6
   1           4442           4186           5509       7.396e-4       2.939e-1       4.840e-6
   1           4722          16520           2313       8.596e-4       2.885e-1       1.911e-6
   1           5018          14111           3916       7.458e-4       3.000e-1       5.882e-6
   1           4922          13892          11681       7.360e-4       1.975e-1       3.038e-6
   1           4252           9889           7975       6.459e-4       3.000e-1       7.717e-6
   1           5051          10702          11384       7.316e-4       3.000e-1       4.325e-6
   1           5841          18645          11914       8.792e-4       3.000e-1       1.522e-6
   1           5208          15892           8324       9.899e-4       3.000e-1       6.145e-6
   1           4618          19872          10558       8.305e-4       3.000e-1       1.469e-7
   1           4600          11131           2015       5.381e-4       3.000e-1       1.000e-5
   1           5690          10557           6499       6.865e-4       3.000e-1       4.467e-7
   1           3846           7631           6174       9.541e-4       2.921e-1       7.908e-6
   1           3927          16349           1377       9.032e-4       3.000e-1       2.330e-6
   1           4230           1260           4174       8.836e-4       3.000e-1       1.289e-6
   1           3897          13428           4973       6.147e-4       2.827e-1       1.000e-5
   1           3829           7132          20158       7.274e-4       2.965e-1       9.712e-6
   1           4932           6919          11993       8.264e-4       2.810e-1       1.000e-5
   1           4457          15508           1482       6.224e-4       2.983e-1       7.106e-6
   1           4172           5033           9731       8.818e-4       3.000e-1       2.300e-6
   1           5447          14614            199       7.475e-4       3.000e-1       9.442e-6
   1           5167          14738          20095       7.873e-4       2.848e-1       6.439e-6
   1           4412          14077          15356       7.907e-4       2.083e-1       2.306e-7
   1           4275          12327           6764       9.457e-4       3.000e-1       1.018e-6
   1           5752          10980           5534       5.274e-4       3.000e-1       1.126e-6
   1           3928           7094           8992       7.335e-4       3.000e-1       4.903e-6
   1           3473          16688           1407       9.376e-4       3.000e-1       9.972e-6
   1           3623           9658          14669       9.057e-4       3.000e-1       5.016e-6
   1           4462          13033           1741       9.003e-4       3.000e-1       5.903e-6
   1           2827          18669           5867       9.766e-4       2.981e-1       1.795e-6
   1           4280          23761          15894       7.766e-4       3.000e-1       8.154e-6
