scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           5215          14041           2066       4.929e-4       3.000e-1       2.588e-6
   1           5285          12671          10558       8.237e-4       3.000e-1       4.731e-6
   1           4383           8045           4325       7.576e-4       2.952e-1       1.734e-8
   1           3963          13139          14832       5.264e-4       3.000e-1       5.318e-7
   1           4125           9317           1122       4.361e-4       3.000e-1       1.537e-6
   1           4155          16960          13819       6.013e-4       2.910e-1       1.909e-7
   1           5088          10806          14964       3.543e-4       2.846e-1       9.982e-8
   1           4109           4426           1283       8.421e-4       3.000e-1       2.614e-6
   1           4120           8307           1515       3.971e-4       2.839e-1       7.192e-7
   1           6534          12983           5288       7.703e-4       2.922e-1       1.459e-7
   1           3987          13565          12040       4.594e-4       3.000e-1       4.215e-7
   1           3070          13514           7002       5.102e-4       2.922e-1       2.328e-7
   1           4588          16223          12902       4.467e-4       2.622e-1       6.599e-8
   1           4333          11334          11152       5.197e-4       2.692e-1       1.877e-7
   1           3650           8658           3931       4.209e-4       3.000e-1       1.833e-7
   1           3760          12288           7213       3.914e-4       2.887e-1       8.391e-7
   1           6339           5849           3966       2.370e-4       2.903e-1       3.449e-7
   1           3047           7056           8516       5.363e-4       3.000e-1       6.572e-6
   1           3736          12271          15772       7.596e-4       2.985e-1       4.329e-6
   1           3668           4866           4047       6.975e-4       2.961e-1       7.621e-8
   1           4796           4488           4695       7.076e-4       2.375e-1       8.295e-8
   1           3065          10263          13449       4.764e-4       2.759e-1       3.753e-7
   1           2929           3798           4356       4.863e-4       2.718e-1       3.739e-6
   1           3394          10111          11911       6.399e-4       2.787e-1       2.556e-6
   1           5017           4988           6036       2.598e-4       2.976e-1       9.828e-7
   1           4509          10573           6364       3.788e-4       3.000e-1       2.613e-6
   1           3901           8030          10124       7.889e-4       1.381e-1       6.099e-7
   1           4420           9241          16903       5.807e-4       2.945e-1       1.273e-7
   1           3129          12213           7447       9.197e-4       2.954e-1       1.620e-6
   1           4540          13063           7530       7.946e-4       1.663e-1       1.606e-7
   1           1616          15752           9357       9.896e-4       2.589e-1       3.559e-7
   1           4161          15600            730       6.354e-4       2.977e-1       2.842e-7
   1           5501           9455          10164       4.774e-4       3.000e-1       1.758e-6
   1           3381          15090          13402       9.253e-4       2.672e-1       9.432e-6
   1           4240          12518          17450       5.405e-4       3.000e-1       2.985e-7
   1           5291           3001          11386       3.667e-4       3.000e-1       3.821e-7
   1           4725          10378           4404       7.291e-4       2.988e-1       3.371e-8
   1           2570          16019          16501       6.204e-4       2.946e-1       1.519e-8
   1           3574          13750          14660       6.854e-4       3.000e-1       8.921e-6
   1           3160          11203            316       8.500e-4       2.810e-1       4.351e-7
   1           4375          11101           8665       6.509e-4       2.750e-1       9.005e-7
   1           3907          12205          18702       8.195e-4       3.000e-1       8.939e-8
   1           4288           8415          12544       5.651e-4       2.260e-1       4.857e-8
   1           3997          15581            935       5.444e-4       2.442e-1       4.046e-8
   1           4163          14802           8620       5.074e-4       3.000e-1       5.276e-6
   1           4504           3002           7572       3.979e-4       2.840e-1       6.531e-7
   1           4427           6874           4467       4.769e-4       3.000e-1       1.960e-8
   1           3103           7232           5716       6.534e-4       2.832e-1       1.318e-7
   1           3778          10621           3426       5.970e-4       3.000e-1       1.769e-6
   1           3218          17114           4018       9.835e-4       3.000e-1       1.310e-7
   1           3397          12871           5743       4.412e-4       2.672e-1       3.754e-7
   1           3959           6148           8500       8.637e-4       1.802e-1       1.778e-7
   1           3182           7210           9845       6.798e-4       2.873e-1       1.048e-7
   1           5559          10817           5494       6.785e-4       2.942e-1       4.687e-6
   1           6157           8981           4414       2.536e-4       2.772e-1       3.462e-6
   1           3023           9566           5822       9.271e-4       2.814e-1       6.144e-6
   1           4956          11561           6890       3.572e-4       2.603e-1       6.660e-6
   1           3726          11888           6851       6.067e-4       2.829e-1       1.011e-7
   1           3298          11306          14741       6.906e-4       2.871e-1       2.090e-8
   1           3294          15966          19225       5.641e-4       2.551e-1       1.962e-8
   1           5543           9659           6392       3.219e-4       2.588e-1       2.973e-8
   1           5237           3308           8984       3.687e-4       2.686e-1       3.740e-7
   1           3897          15642          15321       4.593e-4       3.000e-1       8.749e-6
   1           3887          17827          11488       7.437e-4       2.050e-1       1.478e-7
   1           2053          12210           6084       6.952e-4       3.000e-1       1.216e-8
   1           3152           2375           6511       7.095e-4       2.762e-1       6.468e-6
   1           2933           5906          10756       5.647e-4       2.997e-1       9.713e-6
   1           3422          12582          11343       7.819e-4       2.944e-1       5.828e-8
   1           4162          16592          12372       6.511e-4       2.820e-1       9.462e-7
   1           3554           8500           5855       9.060e-4       3.000e-1       8.870e-8
   1           3440           9777          11271       8.878e-4       2.862e-1       3.479e-6
   1           3487          10734            207       5.544e-4       3.000e-1       5.469e-7
   1           5446          15087           4426       2.873e-4       2.876e-1       3.861e-6
   1           3487          10125          10227       7.138e-4       2.937e-1       2.038e-7
