scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1           1.266           3.255          13.270
   1           1.276          12.009           7.285
   1           1.102           6.278          19.198
   1           2.495           7.692          19.201
   1           1.412           6.043          10.897
   1        7.445e-1           2.543           8.182
   1           1.047           8.819          11.587
   1           2.118           9.259           6.718
   1        9.946e-1           3.839           5.104
   1           2.324           6.306           3.912
   1        9.124e-1           3.439           6.606
   1           2.460           6.614           6.845
   1           2.381           6.149           8.274
   1           1.273           2.062          13.577
   1        5.283e-1           1.183           4.539
   1           1.401           4.990           8.086
   1        9.015e-1           6.840          11.610
   1           1.448           4.058           8.530
   1        9.611e-1           6.188           5.502
   1           1.544           9.215           6.093
   1           1.039           4.967           8.448
   1           1.130           6.516          12.620
   1           1.310           7.398          16.300
   1           1.162           6.947           5.468
   1           1.870           6.856           3.686
   1           1.033           5.275        9.324e-1
   1        8.408e-1           2.628           3.277
   1           2.032          12.144          10.791
   1           1.299           3.194          11.146
   1           3.322           9.341          14.955
   1           1.395           5.341           6.053
   1           1.264          16.367          15.575
   1        8.467e-1           9.518          17.656
   1           1.300          10.076          23.829
   1           1.790           3.188          13.557
   1        7.578e-1           4.362           8.329
   1           1.131           3.368          10.480
   1           1.023           5.368           9.002
   1        9.744e-1          12.883          13.742
   1        8.064e-1           3.596          10.152
   1           1.414           8.096           9.216
   1           2.340           4.884          18.430
   1           2.140           5.867          12.215
   1           2.477           5.271          21.857
   1           1.377           6.262          11.849
   1        9.315e-1           2.828        3.451e-1
   1           1.598           8.366           9.061
   1        9.309e-1           8.666          13.033
   1           1.716           6.486          12.154
   1        9.835e-1           2.777           7.989
   1           1.585           8.127           6.502
   1        8.545e-1           6.419          19.505
   1           1.360           4.254          12.870
   1        8.831e-1           3.025          14.075
   1           1.148          12.524          22.675
   1           1.193           6.573          11.149
   1           1.033           5.582          21.783
   1        9.428e-1           8.770           8.336
   1           1.148           6.310          17.428
   1           1.941           5.904           5.208
   1        9.502e-1           1.076          20.263
   1           1.201           5.488          10.410
   1        8.176e-1           5.831          15.403
   1           3.049           8.696          17.953
   1           1.288           5.859          17.553
   1           1.633           7.240           7.194
   1           1.094           5.467          23.252
   1           1.743           2.281        9.753e-1
   1           1.767          12.116          18.680
   1           1.676           5.706          12.181
   1           1.078           9.252           6.105
   1           1.981           5.171          13.149
   1        9.873e-1           6.665          13.770
   1        9.887e-1           5.481          15.599
   1        8.531e-1           2.055           6.977
   1        7.053e-1           2.402           2.214
   1        8.058e-1           4.728           4.054
   1           1.874          11.795          16.180
   1           1.141           5.039          10.937
   1           1.189           6.826          19.368
   1        8.932e-1           4.498          15.387
   1           2.943          12.076           4.374
   1           1.665          11.461          11.183
   1        9.610e-1           1.095           4.404
   1           1.245           6.023          12.196
   1           1.239           3.473          10.338
   1        8.614e-1           4.884           9.661
   1           2.066           4.772          14.625
   1           1.444          15.218          13.901
   1        9.143e-1           4.176          20.792
   1           1.001           1.191           4.228
   1           1.573           6.357           9.646
   1           2.079          15.206          12.987
   1        8.157e-1           8.444           8.314
   1           1.180           4.534           7.530
   1        7.143e-1           1.515           7.917
   1           1.148           2.302           2.430
   1           1.823           3.102           6.350
   1        8.687e-1           6.593          10.182
   1           1.096           4.022           7.944
   1        9.642e-1           5.266        6.367e-1
   1        9.008e-1           4.271           5.193
   1        7.457e-1           4.372          10.457
   1           1.229           5.776           7.488
   1           1.152           4.760           9.013
   1           1.239           7.564          15.511
   1           2.982           5.284          13.429
   1        7.432e-1           3.044          11.572
   1           1.370           6.352          11.169
   1        8.898e-1           5.618           1.760
   1           1.872           5.486          13.176
   1           1.947           6.283          13.439
   1           1.323           8.852          19.944
   1           1.866           9.670           9.979
   1        6.916e-1           3.012          13.009
   1           1.415           3.301          15.445
   1           1.412           4.217           6.211
   1           2.653          12.624           7.601
   1           1.117           7.139          17.493
   1           1.075           6.621          13.927
   1           1.911           3.775          16.713
   1           1.600          10.028          10.604
   1        7.314e-1           6.185          13.900
   1           1.514           5.485          10.536
   1           1.309           3.177           1.053
   1           1.618           3.422          18.817
   1           1.305           5.915           2.057
   1           1.034           4.153           7.482
   1           1.253           3.993           5.243
   1        9.466e-1           3.081           6.595
   1           1.873           5.910           6.769
   1        7.289e-1           2.934          11.624
   1           1.186           6.031           3.421
   1        8.428e-1           6.582          10.784
   1           1.760           4.793          15.472
   1        7.192e-1          10.930           1.439
   1        7.092e-1           3.840           7.858
   1        7.482e-1           3.015          13.268
   1           1.101           3.261          12.874
   1        8.025e-1           1.501          10.577
   1        7.746e-1           9.249           4.317
   1           1.114           5.444          16.592
   1        6.696e-1           1.704          10.632
   1           1.368           2.094           7.129
   1        9.410e-1           4.269          10.843
