scenario   Ne/Mean(N)      t/Mean(N)       Na/Mean(N)   
   1           1.000          12.228        8.109e-1
   1           1.000           9.379        7.057e-1
   1           1.000           9.535        6.180e-1
   1           1.000          12.228        3.524e-1
   1           1.000          12.228        3.826e-1
   1           1.000          11.943        3.494e-1
   1           1.000          12.228           1.132
   1           1.000          11.972        5.684e-1
   1           1.000           8.819        3.254e-1
   1           1.000          11.075        5.310e-1
   1           1.000          12.228        1.165e-1
   1           1.000          12.228        2.940e-1
   1           1.000          10.991        9.750e-2
   1           1.000          12.228           1.866
   1           1.000          11.260        9.402e-1
   1           1.000          12.228        3.816e-1
   1           1.000          12.228        6.134e-1
   1           1.000          12.228        4.272e-1
   1           1.000          12.228           1.153
   1           1.000          10.368        8.603e-3
   1           1.000          10.877           1.029
   1           1.000          12.228        2.861e-1
   1           1.000          11.984        5.726e-1
   1           1.000          12.228        7.703e-1
   1           1.000          12.228        5.877e-1
   1           1.000          12.025        6.985e-1
   1           1.000          11.097        3.963e-1
   1           1.000          11.029        9.314e-2
   1           1.000          12.228        1.735e-1
   1           1.000          12.228        5.945e-1
   1           1.000          12.228        1.141e-1
   1           1.000          11.738           1.830
   1           1.000          12.228        7.310e-1
   1           1.000          10.965        5.640e-2
   1           1.000          12.228        3.348e-1
   1           1.000          10.891        2.329e-1
   1           1.000          12.228           1.971
   1           1.000          12.228           1.015
   1           1.000           9.887        4.124e-1
   1           1.000          11.825        4.145e-1
   1           1.000          12.228        2.928e-1
   1           1.000          12.228        8.882e-1
   1           1.000          12.228        4.076e-1
   1           1.000          11.401        4.810e-1
   1           1.000          11.285        3.269e-1
   1           1.000          11.694           1.327
   1           1.000          11.757        2.301e-1
   1           1.000          10.136        6.529e-1
   1           1.000          10.923        1.590e-1
   1           1.000          12.228           1.317
   1           1.000          12.228        4.008e-1
   1           1.000          12.228        1.463e-1
   1           1.000          11.986        9.901e-1
   1           1.000          12.228        4.846e-1
   1           1.000          12.019        2.053e-1
   1           1.000          12.228           1.098
   1           1.000          12.228        2.877e-1
   1           1.000          12.228        1.966e-2
   1           1.000          12.148        7.660e-1
   1           1.000          11.644        7.107e-1
   1           1.000          12.228        2.119e-1
   1           1.000          12.228        3.826e-1
   1           1.000          11.666        4.103e-1
   1           1.000          11.480        7.529e-1
