scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1           2.260           2.861          28.079
   1           3.711           2.737          28.079
   1           2.753           6.577          27.614
   1           1.734           2.654          25.369
   1           2.377           1.692          27.863
   1           1.962           9.284          27.415
   1           2.826           2.970          27.353
   1           2.852           7.401          27.592
   1           2.757           6.726          27.969
   1           2.160           4.769          26.621
   1           3.765           2.381          28.079
   1           3.726           5.761          28.079
   1           3.625           4.043          28.079
   1           4.509           5.730          28.079
   1           3.074           7.513          27.385
   1           2.130           4.350          28.079
   1           4.050           6.449          27.999
   1           1.834        8.877e-1          28.079
   1           3.353           6.712          28.079
   1           4.376           3.396          28.079
   1           2.935           7.668          28.079
   1           2.622           3.811          28.079
   1           2.765           7.078          28.079
   1           2.233           2.896          28.079
   1           3.639           2.906          28.079
   1           4.080           6.881          28.079
   1           3.863           8.389          28.079
   1           2.931           2.663          28.079
   1           3.751           4.611          28.079
   1           3.859          10.464          28.079
   1           3.291           5.038          28.079
   1           5.067           1.400          28.079
   1           2.317           4.051          28.079
   1           2.401           3.461          26.067
   1           1.927           3.362          27.368
   1           3.212           3.670          27.686
   1           3.629           3.730          23.483
   1           2.138           3.923          27.154
   1           3.271           1.644          28.079
   1           2.116           9.082          28.034
   1           1.957           3.167          28.079
   1           2.256           2.715          27.535
   1           2.211           3.616          27.272
   1           3.402           4.358          28.079
   1           2.084           4.314          28.000
   1           3.105           2.487          28.079
   1           3.590           3.443          28.079
   1           2.986           3.384          27.957
   1           1.805           4.111          28.079
   1           4.470           5.276          28.079
   1           1.076           1.054          27.191
   1           3.309           8.214          28.079
   1           3.417           5.883          28.079
   1           2.500           1.794          28.079
   1           2.664           1.927          28.079
   1           2.601           1.663          26.335
   1           1.094        7.759e-2          27.469
   1           2.099           4.070          27.322
   1           2.554           2.777          22.790
   1           2.581           3.970          28.079
   1           1.463           1.304          28.079
   1           2.504           9.939          28.079
   1           3.453        9.225e-1          28.079
   1           3.262           3.655          25.432
   1           1.736           2.534          27.656
   1           1.934           2.661          28.079
   1           2.280           1.948          28.079
   1           1.488           3.932          28.079
   1           3.786           2.727          28.079
